;;powiat bolesławiecki;powiat dzierżoniowski;powiat głogowski;powiat górowski;powiat jaworski;powiat jeleniogórski;powiat kamiennogórski;powiat kłodzki;powiat legnicki;powiat lubański;powiat lubiński;powiat lwówecki;powiat milicki;powiat oleśnicki;powiat oławski;powiat polkowicki;powiat strzeliński;powiat średzki;powiat świdnicki;powiat trzebnicki;powiat wałbrzyski;powiat wołowski;powiat wrocławski;powiat ząbkowicki;powiat zgorzelecki;powiat złotoryjski;powiat Jelenia Góra;powiat Legnica;powiat Wrocław;powiat Wałbrzych;powiat aleksandrowski;powiat brodnicki;powiat bydgoski;powiat chełmiński;powiat golubsko-dobrzyński;powiat grudziądzki;powiat inowrocławski;powiat lipnowski;powiat mogileński;powiat nakielski;powiat radziejowski;powiat rypiński;powiat sępoleński;powiat świecki;powiat toruński;powiat tucholski;powiat wąbrzeski;powiat włocławski;powiat żniński;powiat Bydgoszcz;powiat Grudziądz;powiat Toruń;powiat Włocławek;powiat bialski;powiat biłgorajski;powiat chełmski;powiat hrubieszowski;powiat janowski;powiat krasnostawski;powiat kraśnicki;powiat lubartowski;powiat lubelski;powiat łęczyński;powiat łukowski;powiat opolski;powiat parczewski;powiat puławski;powiat radzyński;powiat rycki;powiat świdnicki;powiat tomaszowski;powiat włodawski;powiat zamojski;powiat Biała Podlaska;powiat Chełm;powiat Lublin;powiat Zamość;powiat gorzowski;powiat krośnieński;powiat międzyrzecki;powiat nowosolski;powiat słubicki;powiat strzelecko-drezdenecki;powiat sulęciński;powiat świebodziński;powiat zielonogórski;powiat żagański;powiat żarski;powiat wschowski;powiat Gorzów Wielkopolski;powiat Zielona Góra;powiat bełchatowski;powiat kutnowski;powiat łaski;powiat łęczycki;powiat łowicki;powiat łódzki wschodni;powiat opoczyński;powiat pabianicki;powiat pajęczański;powiat piotrkowski;powiat poddębicki;powiat radomszczański;powiat rawski;powiat sieradzki;powiat skierniewicki;powiat tomaszowski;powiat wieluński;powiat wieruszowski;powiat zduńskowolski;powiat zgierski;powiat brzeziński;powiat Łódź;powiat Piotrków Trybunalski;powiat Skierniewice;powiat bocheński;powiat brzeski;powiat chrzanowski;powiat dąbrowski;powiat gorlicki;powiat krakowski;powiat limanowski;powiat miechowski;powiat myślenicki;powiat nowosądecki;powiat nowotarski;powiat olkuski;powiat oświęcimski;powiat proszowicki;powiat suski;powiat tarnowski;powiat tatrzański;powiat wadowicki;powiat wielicki;powiat Kraków;powiat Nowy Sącz;powiat Tarnów;powiat białobrzeski;powiat ciechanowski;powiat garwoliński;powiat gostyniński;powiat grodziski;powiat grójecki;powiat kozienicki;powiat legionowski;powiat lipski;powiat łosicki;powiat makowski;powiat miński;powiat mławski;powiat nowodworski;powiat ostrołęcki;powiat ostrowski;powiat otwocki;powiat piaseczyński;powiat płocki;powiat płoński;powiat pruszkowski;powiat przasnyski;powiat przysuski;powiat pułtuski;powiat radomski;powiat siedlecki;powiat sierpecki;powiat sochaczewski;powiat sokołowski;powiat szydłowiecki;powiat warszawski zachodni;powiat węgrowski;powiat wołomiński;powiat wyszkowski;powiat zwoleński;powiat żuromiński;powiat żyrardowski;powiat Ostrołęka;powiat Płock;powiat Radom;powiat Siedlce;powiat Warszawa;powiat brzeski;powiat głubczycki;powiat kędzierzyńsko-kozielski;powiat kluczborski;powiat krapkowicki;powiat namysłowski;powiat nyski;powiat oleski;powiat opolski;powiat prudnicki;powiat strzelecki;powiat Opole;powiat bieszczadzki;powiat brzozowski;powiat dębicki;powiat jarosławski;powiat jasielski;powiat kolbuszowski;powiat krośnieński;powiat leżajski;powiat lubaczowski;powiat łańcucki;powiat mielecki;powiat niżański;powiat przemyski;powiat przeworski;powiat ropczycko-sędziszowski;powiat rzeszowski;powiat sanocki;powiat stalowowolski;powiat strzyżowski;powiat tarnobrzeski;powiat leski;powiat Krosno;powiat Przemyśl;powiat Rzeszów;powiat Tarnobrzeg;powiat augustowski;powiat białostocki;powiat bielski;powiat grajewski;powiat hajnowski;powiat kolneński;powiat łomżyński;powiat moniecki;powiat sejneński;powiat siemiatycki;powiat sokólski;powiat suwalski;powiat wysokomazowiecki;powiat zambrowski;powiat Białystok;powiat Łomża;powiat Suwałki;powiat bytowski;powiat chojnicki;powiat człuchowski;powiat gdański;powiat kartuski;powiat kościerski;powiat kwidzyński;powiat lęborski;powiat malborski;powiat nowodworski;powiat pucki;powiat słupski;powiat starogardzki;powiat tczewski;powiat wejherowski;powiat sztumski;powiat Gdańsk;powiat Gdynia;powiat Słupsk;powiat Sopot;powiat będziński;powiat bielski;powiat cieszyński;powiat częstochowski;powiat gliwicki;powiat kłobucki;powiat lubliniecki;powiat mikołowski;powiat myszkowski;powiat pszczyński;powiat raciborski;powiat rybnicki;powiat tarnogórski;powiat bieruńsko-lędziński;powiat wodzisławski;powiat zawierciański;powiat żywiecki;powiat Bielsko-Biała;powiat Bytom;powiat Chorzów;powiat Częstochowa;powiat Dąbrowa Górnicza;powiat Gliwice;powiat Jastrzębie-Zdrój;powiat Jaworzno;powiat Katowice;powiat Mysłowice;powiat Piekary Śląskie;powiat Ruda Śląska;powiat Rybnik;powiat Siemianowice Śląskie;powiat Sosnowiec;powiat Świętochłowice;powiat Tychy;powiat Zabrze;powiat Żory;powiat buski;powiat jędrzejowski;powiat kazimierski;powiat kielecki;powiat konecki;powiat opatowski;powiat ostrowiecki;powiat pińczowski;powiat sandomierski;powiat skarżyski;powiat starachowicki;powiat staszowski;powiat włoszczowski;powiat Kielce;powiat bartoszycki;powiat braniewski;powiat działdowski;powiat elbląski;powiat ełcki;powiat giżycki;powiat iławski;powiat kętrzyński;powiat lidzbarski;powiat mrągowski;powiat nidzicki;powiat nowomiejski;powiat olecki;powiat olsztyński;powiat ostródzki;powiat piski;powiat szczycieński;powiat gołdapski;powiat węgorzewski;powiat Elbląg;powiat Olsztyn;powiat chodzieski;powiat czarnkowsko-trzcianecki;powiat gnieźnieński;powiat gostyński;powiat grodziski;powiat jarociński;powiat kaliski;powiat kępiński;powiat kolski;powiat koniński;powiat kościański;powiat krotoszyński;powiat leszczyński;powiat międzychodzki;powiat nowotomyski;powiat obornicki;powiat ostrowski;powiat ostrzeszowski;powiat pilski;powiat pleszewski;powiat poznański;powiat rawicki;powiat słupecki;powiat szamotulski;powiat średzki;powiat śremski;powiat turecki;powiat wągrowiecki;powiat wolsztyński;powiat wrzesiński;powiat złotowski;powiat Kalisz;powiat Konin;powiat Leszno;powiat Poznań;powiat białogardzki;powiat choszczeński;powiat drawski;powiat goleniowski;powiat gryficki;powiat gryfiński;powiat kamieński;powiat kołobrzeski;powiat koszaliński;powiat myśliborski;powiat policki;powiat pyrzycki;powiat sławieński;powiat stargardzki;powiat szczecinecki;powiat świdwiński;powiat wałecki;powiat łobeski;powiat Koszalin;powiat Szczecin;powiat Świnoujście
powiat lubański;210;113;;;;;;;;;30152;;448;;;;;;;;;;;;;99;;31;;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat lubiński;211;95;;1118;147;57;;;10;402;;53559;;;21;;1730;;11;;27;;274;;;;134;;756;137;32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31;;;;14;;16;;94;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat lwówecki;212;123;;;;;;10;;;240;;26003;;;;;;;;;;;;;;12;35;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat milicki;213;;;;;;;;;;;;;18936;69;;;;;;70;;;;;;;;;79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;190;;;;;219;;;;;97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat oleśnicki;214;;;;;;;;;;;;;477;54622;;;;;;23;;;73;;;;;;264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;86;;;;;;;;;395;135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat oławski;215;;;;;;;;;;;;;;622;38100;;605;;;;;;514;;;;;;638;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1288;;;;;215;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat polkowicki;216;256;;5110;83;36;;23;39;352;;5503;;;;;31455;;;;;;117;;;;145;;446;47;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;148;;;;;;180;;157;;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;15;13;;;;;;;;;12;;;11;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34;;;;;;;;;;;;;;;;;;;;;
powiat strzeliński;217;;16;;;;;;;;;;;;17;24;;21786;;;;;;;201;;;;;147;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat średzki;218;;;;;66;;;;299;;26;;;;;;;26686;54;;;232;65;;;;;42;873;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat świdnicki;219;;716;;;558;;;12;;;;;;;;;;219;82018;;346;;107;20;;;12;16;290;895;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;37;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;;11;;;;;;;;;;;;20;;;;;;;16;;;;;;;;;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat trzebnicki;220;;;;11;;;;;;;;;321;15;;;;;;44266;;281;42;;;;;;553;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat wałbrzyski;221;;22;;;;;92;;;;;;;;;;;;47;;28724;;;;;;;;14;875;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat wołowski;222;;;;22;;;;;;;36;;;;;11;;46;;188;;24857;;;;;;;237;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;;;;;;;;;;;;;;;;;;;;;;;;;;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat wrocławski;223;20;1886;23;22;275;;;308;90;13;39;13;51;1094;769;10;926;825;1365;300;197;111;70059;794;11;11;41;245;6636;662;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;;;;12;;;;;;;;;;;;11;;;;;;23;;;;10;;;;;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57;29;;;;;37;80;;13;24;;37;;;;;;;;;;;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;23;;;;;;11;;;;;;;;;;17;13;;;15;;;;11;;;11;;;23;;;40;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;37;63;19;;;;23;;;;;;;38;108;;;;;27;;;;;;;;;;;;;;;;;;;;13;
powiat ząbkowicki;224;;77;;;;;;48;;;;;;;;;12;;32;;;;;35024;;;;;71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat zgorzelecki;225;138;;;;;;;10;42;546;;12;;;;;;;;;;;;;49747;;20;29;33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;113;;;;;;;560;;;;;;;;44;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat złotoryjski;226;12;13;20;;39;;;12;95;;14;;;;;;;;;;;;;;;24318;;122;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat Jelenia Góra;261;39;10;;;131;2901;279;;;116;15;480;;;;;;;12;;53;;;;32;308;45243;;54;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat Legnica;262;155;27;180;;999;48;23;12;3005;16;701;32;;13;198;195;34;68;93;;16;30;14;;40;862;42;56988;172;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;;;;;;12;;;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51;;;;;;;;
powiat Wrocław;264;739;2068;691;322;633;649;394;1465;1115;408;915;457;579;3710;2894;607;1627;2579;2230;4445;867;1408;11314;1384;830;438;317;914;372359;1393;;;10;16;;;14;;13;;;;;32;25;;;40;;49;;38;32;;;13;28;;;10;;10;56;16;;;10;;;21;;;12;10;17;73;16;;180;23;124;;10;80;19;97;185;413;48;59;152;45;10;20;10;;13;20;31;;11;;15;30;51;;14;159;113;27;61;;217;25;30;26;15;216;;;225;24;;39;18;;46;164;;31;50;;62;81;227;18;33;;;10;;34;;;20;;;;17;11;24;;12;12;33;;53;85;;;;;11;;12;;;;;43;;;;19;;18;23;32;554;657;24;163;122;102;510;312;33;241;80;37;231;;11;31;13;21;;57;78;;136;17;11;31;39;89;351;10;170;87;128;;17;38;103;73;;10;13;;10;;24;;;;;;;;38;;10;;;;68;10;;;13;13;;20;;16;19;109;;185;78;;18;214;16;11;121;50;51;26;60;69;37;43;33;92;42;40;156;;43;152;100;105;157;82;35;115;242;83;46;129;71;81;245;44;63;124;39;;53;13;382;48;13;22;11;217;19;43;;79;48;;;10;;16;;17;12;;;;;;30;27;;;;;19;64;;39;67;13;;33;20;88;;11;24;89;;;;;166;48;32;16;256;119;10;12;12;37;11;11;11;54;;49;35;74;296;10;;;14;11;13;;;;;25;;;50;;;;;29;76;
powiat Wałbrzych;265;20;215;22;;163;48;496;471;45;32;28;11;;49;39;;21;10;1918;;4120;;109;37;10;23;33;80;184;65324;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;71;;;;;43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat aleksandrowski;401;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29895;12;;;;;16;;;;93;;;;;;;61;;;;166;85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat brodnicki;402;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43502;;;88;48;12;;;;;322;;;14;;90;;;10;96;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;
powiat bydgoski;403;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;61543;130;;;330;;;1400;;;35;161;60;35;;;278;4354;;184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
powiat chełmiński;404;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34;28413;;12;;;;10;;;;105;35;;22;;;67;34;66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
